last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Hosmer, Eric,543333,461,2.1,29.1,114.3,90.5,94.1,88.6,431,137,402,212,46.0,33,7.2,4.9
Cain, Lorenzo,456715,460,6.6,31.3,110.4,89.4,91.6,89.0,433,148,403,190,42.1,19,4.1,3.0
Ahmed, Nick,605113,456,7.5,35.7,108.3,87.5,91.8,84.0,443,161,410,154,33.8,30,6.6,4.8
Bellinger, Cody,641355,455,17.6,40.0,110.6,90.7,95.0,85.4,442,207,405,205,45.5,59,13.0,8.9
Garcia, Leury,544725,452,4.8,30.1,108.5,86.6,90.6,84.0,431,141,408,133,29.5,17,3.8,2.8
Marte, Starling,516782,451,7.4,31.9,111.6,87.4,93.8,83.0,455,159,404,170,38.5,37,8.2,6.3
Pham, Tommy,502054,445,5.1,29.7,113.3,90.8,95.3,88.2,458,149,406,199,44.8,35,7.9,5.4
Reddick, Josh,502210,445,15.6,36.6,107.7,86.0,89.0,84.7,436,174,386,126,29.2,15,3.4,2.7
Martinez, J.D.,502110,442,12.5,41.9,112.6,91.3,95.0,87.6,434,191,402,206,46.7,53,12.0,8.1
DeJong, Paul,657557,440,18.5,33.4,111.7,87.0,92.8,82.0,462,192,410,146,34.0,38,8.6,5.7
Acuna Jr., Ronald,660670,439,14.2,40.5,115.9,90.6,95.6,84.8,466,191,418,206,46.9,66,15.0,9.2
Chapman, Matt,656305,439,16.3,25.5,114.4,92.6,97.1,90.8,453,185,408,210,48.7,54,12.3,8.1
Iglesias, Jose,578428,437,7.0,30.9,107.7,84.0,87.5,82.8,423,136,389,101,23.9,11,2.5,2.1
McNeil, Jeff,643446,436,13.2,33.9,107.2,88.4,92.2,86.1,444,172,393,159,36.6,21,4.8,3.7
Newman, Kevin,621028,434,8.1,33.4,107.1,84.7,87.9,82.7,426,150,399,105,24.4,9,2.1,1.7
Goldschmidt, Paul,502671,434,15.3,36.6,111.5,90.1,94.5,86.2,464,198,411,182,42.4,49,11.3,7.2
Pujols, Albert,405395,431,12.4,26.7,112.3,88.3,92.3,87.2,438,167,403,154,36.3,26,6.0,4.8
Kepler, Max,596146,429,18.2,31.0,112.5,89.7,92.9,88.8,438,194,392,177,41.7,38,8.9,6.4
Rizzo, Anthony,519203,429,12.4,37.1,113.4,88.8,92.5,86.5,472,176,401,158,37.0,30,7.0,4.9
Moustakas, Mike,519058,427,17.1,32.6,112.9,89.3,93.8,86.5,459,192,402,172,40.7,44,10.3,7.5
Rojas, Miguel,500743,427,8.8,31.9,109.2,87.1,89.3,85.7,415,155,399,121,28.3,11,2.6,2.1
Puig, Yasiel,624577,426,14.2,31.2,114.4,89.9,94.1,88.0,455,182,410,162,39.1,41,9.6,6.7
Grichuk, Randal,545341,425,16.2,31.3,112.6,89.3,93.9,87.1,469,178,401,169,39.8,36,8.5,5.7
Torres, Gleyber,650402,424,17.4,38.2,109.6,89.0,92.8,86.0,438,192,397,151,35.8,43,10.1,7.1
Realmuto, J.T.,592663,423,14.4,35.0,112.9,90.3,94.4,87.7,456,186,393,173,40.9,37,8.7,6.2
Altuve, Jose,514888,422,8.8,29.4,109.3,86.1,92.8,81.9,448,151,396,142,34.5,34,8.1,6.2
Alonso, Pete,624413,417,14.8,37.4,118.3,90.6,96.5,85.9,474,189,414,174,42.3,66,15.8,9.5
Robles, Victor,645302,417,14.5,34.5,110.5,81.0,88.6,73.7,446,163,401,96,23.0,20,4.8,3.2
Story, Trevor,596115,417,17.3,36.5,111.8,90.9,93.8,90.0,459,197,414,191,45.8,36,8.6,5.5
Soto, Juan,665742,416,12.0,36.3,112.8,91.3,97.0,85.1,443,191,403,199,47.8,51,12.3,7.7
Bell, Josh,605137,416,13.0,34.9,116.2,92.3,96.1,89.8,474,186,411,193,47.1,53,12.7,8.6
Soler, Jorge,624585,415,15.4,34.7,115.7,92.6,97.2,88.8,465,199,414,207,49.9,70,16.9,10.3
Galvis, Freddy,520471,415,14.2,31.8,105.6,88.2,91.3,86.0,434,177,388,150,36.1,23,5.5,3.9
Ramirez, Jose,608070,414,19.8,32.6,112.1,89.1,91.8,87.4,431,199,397,148,35.7,26,6.3,4.8
Turner, Trea,607208,410,9.7,29.8,113.5,90.3,93.1,89.5,453,158,408,170,41.5,28,6.8,4.9
Benintendi, Andrew,643217,409,17.3,40.1,107.7,88.6,91.9,86.1,436,193,389,154,37.7,33,8.1,5.4
Ramos, Wilson,467092,407,0.0,26.0,111.0,90.0,93.7,88.8,427,119,390,171,42.2,19,4.7,3.6
Heyward, Jason,518792,406,11.1,32.3,111.8,88.6,91.3,87.7,427,168,391,147,36.5,24,5.9,4.1
Wong, Kolten,543939,406,10.6,29.1,107.7,83.6,89.1,80.0,432,164,396,101,25.1,10,2.5,1.8
Votto, Joey,458015,405,15.0,40.7,109.5,88.8,91.4,85.8,425,194,399,149,37.7,28,6.9,4.6
Conforto, Michael,624424,405,15.7,36.0,112.2,88.8,93.7,82.4,452,194,402,158,39.3,48,11.9,7.4
Belt, Brandon,474832,403,21.9,41.4,106.6,86.4,91.3,80.0,434,216,389,144,35.8,35,8.7,5.7
Hoskins, Rhys,656555,403,24.0,31.0,111.0,89.7,94.0,86.3,429,209,388,156,38.7,39,9.7,5.5
Nunez, Renato,600524,402,20.0,32.1,114.8,89.9,94.0,88.2,450,194,413,163,40.6,43,10.7,7.2
Bryant, Kris,592178,400,19.3,36.0,111.4,87.4,92.3,83.1,445,190,403,135,34.1,37,9.3,5.8
Meadows, Austin,640457,399,16.7,38.1,115.4,90.4,94.7,85.8,447,205,399,171,42.9,50,12.5,8.5
Choo, Shin-Soo,425783,399,8.7,32.1,111.8,91.3,96.7,87.5,461,161,410,195,49.0,35,8.8,5.3
Harper, Bryce,547180,399,13.1,37.6,116.4,91.3,96.9,84.9,466,196,411,182,45.6,59,14.8,8.7
Panik, Joe,605412,397,12.3,33.8,106.2,86.3,89.6,84.3,414,171,390,101,25.6,8,2.0,1.6
Turner, Justin,457759,396,17.6,38.9,107.7,90.2,93.1,87.7,433,202,401,168,43.0,31,7.8,5.6
Donaldson, Josh,518626,396,13.3,33.3,114.2,92.9,98.1,89.0,443,184,406,198,50.0,62,15.7,9.4
Seager, Corey,608369,395,14.1,35.4,109.7,88.8,93.2,84.1,441,189,403,148,37.9,29,7.3,5.4
Arcia, Orlando,606115,393,6.3,27.5,109.9,87.5,91.5,85.1,434,149,393,119,30.8,18,4.6,3.3
Calhoun, Kole,594777,392,14.7,36.2,110.1,89.3,95.0,83.5,440,189,403,164,42.6,44,11.2,7.0
Suarez, Eugenio,553993,392,17.8,39.3,112.3,89.4,93.2,86.1,457,195,400,157,40.8,55,14.0,8.3
Anderson, Tim,641313,391,8.7,37.6,107.8,88.3,90.7,86.7,440,167,398,146,37.3,20,5.1,3.9
Cabrera, Miguel,408234,390,12.2,38.5,111.4,90.3,92.4,89.1,453,172,396,173,44.6,25,6.4,4.6
Sanchez, Yolmer,570560,389,12.8,32.1,107.5,85.6,88.9,83.5,392,165,354,105,27.1,4,1.0,0.7
Crawford, Brandon,543063,387,8.4,36.7,106.7,87.5,92.8,83.5,443,161,401,136,35.1,21,5.4,3.8
Profar, Jurickson,595777,387,14.2,30.2,108.2,86.7,91.7,83.8,425,171,387,116,30.9,24,6.2,4.6
Jones, Adam,430945,387,13.5,31.3,108.5,86.0,90.2,84.3,441,166,405,117,30.2,26,6.7,4.9
Vazquez, Christian,543877,387,12.9,38.2,107.4,88.7,92.7,85.3,443,185,387,149,38.5,24,6.2,4.6
Gardner, Brett,458731,386,13.6,29.3,109.7,87.2,91.7,84.7,430,165,382,121,31.4,16,4.1,2.9
Adames, Willy,642715,382,10.0,36.1,110.9,87.8,93.1,83.0,462,166,396,135,35.5,32,8.4,5.5
Kipnis, Jason,543401,381,13.1,33.3,107.1,86.7,91.2,82.3,449,179,393,130,34.4,21,5.5,4.1
Dozier, Hunter,641531,380,16.7,35.8,115.1,91.1,94.2,89.2,453,201,401,162,42.6,38,10.0,6.5
Grandal, Yasmani,518735,379,13.9,37.7,111.3,90.3,94.9,86.6,442,187,400,156,41.8,43,11.3,6.8
Schwarber, Kyle,656941,379,15.0,35.6,117.6,92.7,97.9,88.5,473,197,406,193,51.2,55,14.5,9.0
Baez, Javier,595879,377,7.6,36.3,114.1,91.0,96.1,86.5,460,172,404,163,43.6,48,12.7,8.6
Walker, Christian,572233,375,14.8,34.1,112.4,91.1,95.2,88.0,447,181,411,181,48.4,49,13.1,8.1
Guerrero Jr., Vladimir,665489,375,6.7,30.9,118.9,89.4,93.2,88.2,451,157,418,144,38.4,29,7.7,5.6
Yelich, Christian,592885,374,11.2,33.2,117.9,93.1,96.7,90.6,462,184,407,182,49.1,59,15.8,10.2
Reynolds, Bryan,668804,373,9.4,37.5,112.1,89.6,92.5,87.5,424,170,401,153,41.7,25,6.7,4.6
Ozuna, Marcell,542303,372,13.5,33.6,115.3,91.8,96.3,88.5,455,179,403,179,49.2,47,12.6,8.6
Smith, Mallex,605480,372,7.2,29.6,105.7,84.3,88.6,82.3,398,144,378,73,19.8,8,2.2,1.4
Springer, George,543807,370,10.3,33.0,114.3,89.8,95.3,85.6,467,177,408,160,44.8,53,14.3,9.5
Murphy, Daniel,502517,368,14.8,36.7,106.4,86.3,89.2,84.1,427,180,388,103,28.1,9,2.4,1.9
Garcia, Avisail,541645,367,9.8,34.1,116.2,89.5,95.2,86.4,471,166,415,148,40.3,43,11.7,8.1
Molina, Yadier,425877,366,13.8,42.1,106.2,87.4,91.7,83.5,429,178,399,124,34.7,14,3.8,3.1
Swanson, Dansby,621020,365,14.2,36.7,108.4,89.8,93.1,86.6,424,186,402,152,41.6,37,10.1,6.8
Mercado, Oscar,640458,365,13.4,33.4,109.5,86.5,90.9,82.7,407,180,385,123,33.9,15,4.1,3.1
Moncada, Yoan,660162,361,12.0,40.4,115.8,92.8,95.5,91.2,462,185,406,173,47.9,44,12.2,7.9
Simmons, Andrelton,592743,361,9.4,19.1,108.8,87.7,89.6,88.5,410,135,386,119,33.6,6,1.7,1.4
Markakis, Nick,455976,361,7.3,34.1,114.7,91.2,92.5,91.0,418,157,392,160,44.3,11,3.0,2.3
Urshela, Gio,570482,359,13.6,37.6,113.3,90.5,94.1,87.7,461,185,407,145,40.6,25,7.0,5.3
Braun, Ryan,460075,357,7.1,33.6,111.7,91.2,95.6,88.9,443,163,404,159,45.0,35,9.8,6.9
Trout, Mike,545361,354,22.2,44.1,116.6,90.7,94.9,84.2,473,233,419,154,44.3,66,18.6,11.0
Moran, Colin,592567,353,12.3,37.7,110.1,88.2,93.3,84.4,422,169,393,121,34.8,26,7.4,5.2
Cron, C.J.,543068,353,12.7,34.3,115.9,91.0,96.1,87.6,453,186,404,156,44.6,53,15.0,10.6
Cabrera, Asdrubal,452678,351,14.1,37.3,108.4,88.8,93.2,84.5,416,190,390,124,35.3,20,5.7,3.9
Fowler, Dexter,451594,350,13.0,40.9,111.1,85.2,90.5,79.5,430,181,391,98,28.4,26,7.4,4.5
Anderson, Brian,605119,348,11.1,31.3,114.4,89.9,94.6,86.7,446,172,397,159,45.7,31,8.9,6.0
Longoria, Evan,446334,346,14.0,35.8,110.3,89.7,93.2,86.8,438,184,406,141,40.8,26,7.5,5.1
Odor, Rougned,596059,346,16.2,30.6,113.1,89.4,96.2,83.2,471,203,404,157,45.6,47,13.6,8.1
Olson, Matt,621566,346,18.3,36.4,111.9,91.9,97.1,87.0,450,203,400,170,50.3,50,14.5,9.1
Reyes, Franmil,614177,345,9.5,33.3,115.0,93.3,98.2,88.6,457,181,408,176,51.0,51,14.8,9.3
Kiermaier, Kevin,595281,345,6.7,26.4,111.4,88.9,93.4,87.8,437,145,412,130,37.8,19,5.5,4.0
Bradley Jr., Jackie,598265,344,8.7,31.1,112.1,89.7,95.0,86.2,478,164,395,148,43.0,34,9.9,6.0
Muncy, Max,571970,342,14.2,39.8,110.1,89.7,94.4,84.3,464,195,404,147,43.4,42,12.3,7.1
Pederson, Joc,592626,341,15.3,31.7,113.7,90.9,96.0,87.7,454,179,399,146,43.5,35,10.3,6.8
Frazier, Todd,453943,341,17.3,34.6,108.4,88.2,92.0,86.0,437,186,392,129,38.4,25,7.3,5.0
Gordon, Dee,543829,341,5.3,29.0,102.5,83.0,87.1,80.8,368,132,361,63,19.0,0,0.0,0.0
Sogard, Eric,519299,339,18.3,40.7,102.9,84.7,88.3,80.9,414,187,378,68,20.1,7,2.1,1.6
Narvaez, Omar,553882,339,17.8,40.7,106.1,85.4,88.8,82.0,420,193,385,91,27.5,18,5.3,3.7
Cabrera, Melky,466320,338,8.9,32.8,110.2,87.9,89.9,87.7,433,152,394,111,33.0,7,2.1,1.8
Davis, Khris,501981,337,13.2,32.0,109.9,90.1,95.2,85.4,432,183,396,132,40.2,34,10.1,6.4
Posey, Buster,457763,336,9.1,32.4,107.6,88.4,92.6,85.3,435,159,399,121,36.0,16,4.8,3.6
Grossman, Robbie,543257,336,12.1,36.3,110.6,87.7,90.0,86.3,423,174,389,102,30.7,8,2.4,1.7
Jimenez, Eloy,650391,336,9.3,32.4,114.1,91.2,96.6,87.4,471,167,409,161,47.9,43,12.8,8.5
Lopez, Nicky,670032,332,2.3,22.6,105.4,83.8,86.3,83.2,398,116,393,63,19.1,5,1.5,1.2
Ramirez, Harold,623912,331,3.8,29.0,113.0,88.9,92.0,87.8,433,136,389,115,34.7,21,6.3,4.7
Franco, Maikel,596748,331,14.9,24.2,114.1,89.0,93.4,88.2,433,163,410,126,38.1,23,6.9,5.4
Gonzalez, Marwin,503556,328,10.6,35.4,109.2,90.4,94.5,87.3,437,172,403,143,43.7,21,6.4,4.5
Santana, Danny,542454,328,13.5,37.8,113.1,91.4,94.7,88.2,448,191,406,143,43.6,31,9.5,6.1
Desmond, Ian,435622,327,8.4,32.4,113.6,90.6,93.6,89.4,486,164,425,138,42.2,34,10.4,7.1
Mazara, Nomar,608577,327,10.5,33.9,114.6,89.1,93.9,86.1,505,172,416,127,39.3,35,10.7,7.5
Tapia, Raimel,606132,326,7.3,36.5,107.1,87.4,90.0,85.7,440,158,402,103,31.6,12,3.7,2.7
Cruz, Nelson,443558,326,13.1,38.3,117.0,93.7,99.2,89.0,473,197,411,168,51.5,65,19.9,12.5
Cano, Robinson,429664,324,7.3,33.6,112.1,90.8,93.2,89.9,429,161,401,149,46.0,24,7.4,5.7
McMahon, Ryan,641857,322,8.4,36.6,112.9,91.4,95.8,88.2,479,166,415,153,47.7,29,9.0,5.4
Hernandez, Enrique,571771,321,19.5,35.8,113.3,88.4,91.9,86.7,432,188,398,110,34.5,19,5.9,4.1
Peraza, Jose,606299,320,17.1,33.8,109.4,84.7,87.7,84.4,432,176,384,78,25.7,1,0.3,0.2
Laureano, Ramon,657656,320,14.8,38.1,111.6,89.5,93.3,86.2,438,187,405,127,40.4,31,9.7,6.4
Schoop, Jonathan,570731,318,12.5,35.5,114.9,87.5,93.5,83.7,467,171,404,122,38.5,28,8.8,6.0
Encarnacion, Edwin,429665,318,22.5,34.6,113.0,90.0,94.4,87.4,442,204,401,131,42.0,40,12.6,8.2
Dyson, Jarrod,502481,317,8.9,29.3,105.5,82.0,88.0,78.3,403,139,389,69,21.8,5,1.6,1.1
Vogelbach, Daniel,596129,315,17.2,39.7,113.1,88.9,93.7,83.8,448,203,398,118,37.7,34,10.8,6.1
Davis, J.D.,605204,315,10.6,37.1,114.7,91.4,95.0,88.7,449,171,404,148,47.7,36,11.4,7.9
Kingery, Scott,664068,314,17.5,39.2,111.4,88.2,93.5,83.0,437,197,389,122,38.9,25,8.0,5.0
Margot, Manuel,622534,313,13.3,28.4,109.6,86.5,91.1,85.1,417,152,391,109,34.9,11,3.5,2.5
Dozier, Brian,572821,312,19.0,32.7,106.6,88.3,92.8,84.2,435,189,394,109,34.9,21,6.7,4.4
Smoak, Justin,475253,309,16.8,37.5,110.8,90.3,93.7,87.4,438,205,401,122,39.5,34,11.0,6.8
Seager, Kyle,572122,309,18.6,37.5,107.1,89.3,93.1,84.4,420,202,383,121,39.7,26,8.4,5.9
Choi, Ji-Man,596847,309,12.6,37.9,110.1,91.1,94.7,87.5,445,186,400,131,42.4,35,11.3,7.2
Drury, Brandon,592273,308,13.8,36.7,112.5,86.9,93.2,83.2,426,167,392,113,36.7,28,9.1,6.3
Canha, Mark,592192,305,15.0,32.5,110.9,89.1,94.3,86.0,436,179,396,124,41.1,29,9.5,5.8
McCann, James,543510,303,10.7,36.0,112.0,89.9,94.3,86.6,446,163,404,131,43.5,28,9.2,5.9
Verdugo, Alex,657077,300,8.8,33.7,111.3,89.4,93.1,87.9,459,162,400,116,39.3,17,5.7,4.5
Arraez, Luis,650333,300,11.4,42.0,102.2,86.9,89.2,84.8,402,174,388,66,22.1,8,2.7,2.2
Wolters, Tony,547172,299,9.6,37.5,103.4,84.8,88.2,81.9,413,166,361,59,19.7,0,0.0,0.0
Santander, Anthony,623993,298,14.8,31.2,112.9,89.6,92.3,89.0,435,189,408,108,36.2,23,7.7,5.7
Peralta, David,444482,296,6.4,29.1,113.2,90.1,94.5,88.0,448,149,409,121,40.9,16,5.4,3.8
Carpenter, Matt,572761,293,18.1,37.2,108.9,87.2,91.9,79.8,442,203,406,89,31.1,23,7.8,4.7
Renfroe, Hunter,592669,292,19.1,32.2,114.1,89.9,94.6,85.9,470,199,413,115,39.4,35,12.0,7.1
Mondesi, Adalberto,609275,292,9.6,30.8,108.4,87.9,92.5,84.6,443,168,412,97,33.4,24,8.2,5.4
Kendrick, Howie,435062,290,11.0,36.9,112.4,91.6,94.4,90.4,435,175,411,140,48.3,33,11.4,8.9
Santana, Domingo,570267,289,11.7,41.2,109.5,89.0,94.6,82.3,425,179,399,118,42.1,36,12.5,7.1
Goodwin, Brian,571718,288,17.6,38.9,111.4,87.3,91.1,82.6,453,200,397,94,33.3,18,6.3,3.9
Voit, Luke,572228,288,12.8,39.9,112.6,89.7,95.4,82.6,470,184,410,116,40.4,38,13.2,7.5
Goodrum, Niko,592348,287,13.2,38.0,109.4,89.3,92.5,86.8,419,176,381,119,41.5,18,6.3,3.8
Ruiz, Rio,547004,285,10.7,33.7,107.8,87.9,93.3,84.0,427,159,388,104,36.5,8,2.8,1.9
Almora Jr., Albert,546991,284,8.2,31.0,111.7,85.2,90.9,83.3,445,149,408,78,27.5,13,4.6,3.6
Smith Jr, Dwight,596105,280,7.2,30.4,114.3,88.7,92.0,87.3,442,156,403,110,39.3,11,3.9,2.8
Alfaro, Jorge,595751,279,4.7,33.3,114.7,90.8,96.4,86.6,473,154,404,125,44.8,32,11.5,6.9
Winker, Jesse,608385,278,7.4,33.8,110.8,89.1,93.7,85.7,415,159,381,110,40.7,14,5.0,3.6
Ohtani, Shohei,660271,278,6.8,31.7,115.1,92.8,97.0,89.0,447,163,406,131,47.1,34,12.2,8.0
Piscotty, Stephen,572039,277,12.6,32.5,111.2,89.1,92.6,85.8,418,173,395,110,40.6,22,7.9,5.6
Senzel, Nick,669222,275,11.0,32.0,107.6,87.5,92.0,85.1,422,162,390,101,37.3,22,8.0,5.3
Castro, Harold,605612,274,7.9,36.5,105.0,86.3,91.6,81.9,408,148,389,77,28.2,10,3.6,2.7
Gregorius, Didi,544369,273,17.2,29.7,110.8,88.2,91.8,87.9,413,184,390,94,34.8,16,5.9,4.7
Perez, Roberto,547379,273,4.3,33.0,112.8,88.3,94.9,83.3,447,163,404,112,41.3,30,11.0,6.7
Cooper, Garrett,643265,272,4.5,33.8,113.5,89.1,94.2,85.7,447,151,418,110,40.4,26,9.6,6.2
Sanchez, Gary,596142,272,19.1,33.8,118.3,91.0,95.9,86.1,481,208,417,112,41.2,52,19.1,11.7
Stewart, Christin,621514,272,19.0,37.1,112.0,86.9,91.6,81.1,419,195,402,91,33.7,20,7.4,4.8
d'Arnaud, Travis,518595,272,14.6,33.8,113.1,90.0,93.6,87.6,453,180,405,108,39.7,21,7.7,5.4
Dahl, David,621311,271,10.8,41.0,107.1,88.2,93.8,81.4,447,189,405,105,38.7,28,10.3,6.8
Jansen, Danny,643376,270,16.1,31.9,111.4,88.7,92.6,87.3,430,184,409,108,40.0,16,5.9,4.2
Myers, Wil,571976,269,11.1,32.7,111.5,88.9,96.7,83.1,468,178,408,109,40.8,30,11.2,6.1
Crawford, J.P.,641487,268,11.4,35.1,108.6,84.3,87.4,82.6,427,156,384,66,24.8,9,3.4,2.3
Rengifo, Luis,650859,268,9.1,31.0,108.6,86.7,90.6,84.7,427,151,411,79,29.9,16,6.0,3.9
Yastrzemski, Mike,573262,268,18.5,36.9,108.5,88.7,94.6,83.0,472,204,406,115,42.9,30,11.2,7.3
DeShields, Delino,592261,267,10.6,34.1,104.0,82.9,90.9,76.5,398,164,384,65,24.3,6,2.2,1.5
Edman, Tommy,669242,265,14.1,37.4,110.1,87.1,90.6,85.0,421,177,387,87,32.8,14,5.3,4.0
Hernandez, Teoscar,606192,265,15.5,30.6,112.1,91.1,96.2,86.6,450,191,401,112,42.3,31,11.7,6.7
Walker, Neil,435522,261,11.7,40.6,106.2,86.2,89.1,83.5,428,177,402,81,31.0,17,6.5,4.5
Bauers, Jake,641343,260,14.6,31.9,109.5,87.5,91.0,86.1,450,174,393,86,33.1,13,5.0,3.1
Contreras, Willson,575929,260,7.3,31.2,113.1,88.3,94.7,83.9,460,167,408,108,41.5,30,11.5,7.3
Dixon, Brandon,641525,259,17.0,38.6,113.3,89.5,93.2,86.8,454,190,399,104,40.2,29,11.2,6.9
Thames, Eric,519346,258,18.6,36.4,110.5,90.7,93.4,87.2,432,209,396,110,43.8,24,9.3,5.2
Taylor, Chris,621035,258,12.9,40.3,108.3,85.2,90.1,78.9,426,182,399,82,32.4,15,5.8,3.6
Phegley, Josh,572033,258,17.0,34.9,106.3,83.7,89.1,78.0,413,185,382,62,24.4,8,3.1,2.3
Pinder, Chad,640461,257,8.8,32.7,110.0,90.5,95.8,87.4,437,168,405,108,43.5,21,8.2,5.7
Tellez, Rowdy,642133,257,14.0,37.0,115.2,90.7,94.5,87.2,455,191,406,107,41.8,34,13.2,8.3
Martinez, Jose,500874,254,6.8,36.6,110.8,88.6,93.6,84.8,440,160,412,99,39.3,18,7.1,4.8
Maldonado, Martin,455117,250,11.7,26.8,110.1,87.4,93.5,83.6,425,159,383,81,32.9,19,7.6,5.1
Diaz, Yandy,650490,250,5.7,34.0,114.3,91.7,97.0,89.2,428,162,389,112,44.8,26,10.4,7.5
Chirinos, Robinson,455139,248,16.5,36.3,107.8,86.2,92.9,78.5,431,179,395,90,37.0,20,8.1,4.6
Aguilar, Jesus,542583,240,13.8,33.8,112.2,89.3,93.1,87.1,446,175,402,90,37.7,18,7.5,4.9
Judge, Aaron,592450,238,11.4,39.9,118.1,95.9,99.5,91.7,467,199,396,136,57.1,48,20.2,10.7
Pollock, A.J.,572041,238,13.9,29.8,108.1,90.5,93.8,88.9,429,173,398,95,39.9,19,8.0,5.6
Candelario, Jeimer,600869,237,15.6,32.9,114.2,88.0,92.2,85.6,449,186,399,80,33.8,14,5.9,3.6
